# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	2579
#@/user_id	gudk
a 	啊	c=21 d=2.40962 t=2579
dong 	動	c=1 d=1 t=1311
dong 	懂	c=1 d=0.115325 t=2579
dong 	東	c=1 d=0.00927901 t=2579
dong bu dong 	動不動	c=1 d=0.0248475 t=2579
dong yang 	東陽	c=2 d=1.94176 t=2247
dou 	都	c=13 d=2.1166 t=2579
dou shi 	都是	c=4 d=0.817603 t=2579
dou yong 	都用	c=2 d=0.70822 t=2579
du qu 	讀取	c=2 d=1.88692 t=2554
du ru 	讀入	c=1 d=0.04573 t=2579
duan qi 	短期	c=1 d=0.0254765 t=2579
duan xin 	短信	c=1 d=0.0298969 t=2579
duan yu 	短語	c=2 d=1.23793 t=2579
dui 	對	c=14 d=2.3821 t=2579
dui bu shang 	對不上	c=1 d=1 t=1606
dui fang 	對方	c=1 d=0.255381 t=2579
dui gong hu 	對公戶	c=1 d=1 t=2362
dui ying 	對應	c=3 d=0.858921 t=2579
duo 	多	c=5 d=1.22063 t=2579
duo da 	多大	c=2 d=0.986125 t=2579
duo shao 	多少	c=2 d=0.71177 t=2579
duo wan 	多萬	c=1 d=0.373439 t=2579
e 	額	c=3 d=2.95072 t=1098
en 	嗯	c=18 d=1.94111 t=2579
er wei ma 	二維碼	c=1 d=1 t=1117
fa 	法	c=1 d=0.628135 t=2579
fa 	發	c=12 d=1.49516 t=2579
fa dao 	發到	c=1 d=0.0300468 t=2579
fa piao 	發票	c=20 d=2.15348 t=2579
fa ren 	法人	c=2 d=0.83527 t=2579
fa wen 	發文	c=2 d=0.0164209 t=2579
fa wo 	發我	c=1 d=0.0871609 t=2579
fa xian 	發現	c=2 d=1.50916 t=1599
fan 	凡	c=1 d=0.00810722 t=2579
fan xi 	梵喜	c=2 d=1.99005 t=2028
fan ye 	翻頁	c=2 d=1.96536 t=2579
fang 	方	c=4 d=1.37859 t=2579
fang 	芳	c=1 d=0.00663763 t=2579
fang 	防	c=1 d=0.606531 t=2579
fang an 	方案	c=1 d=0.980199 t=2579
fang bian 	方便	c=3 d=1.54655 t=2579
fang dong 	房東	c=1 d=1 t=2151
fang xin 	放心	c=1 d=1 t=1293
fang zhi 	紡織	c=1 d=0.0105145 t=2579
fang zi 	房子	c=2 d=1.90484 t=1290
fei 	菲	c=1 d=1 t=1525
fei 	費	c=4 d=1.15203 t=2579
fei yong 	費用	c=4 d=1.11438 t=2004
fen gong si 	分公司	c=1 d=1 t=2564
fen ju 	分局	c=1 d=0.0125254 t=2579
feng xian 	風險	c=3 d=2.57016 t=1298
fou ze 	否則	c=5 d=0.237504 t=2579
fu 	付	c=7 d=1.39294 t=2195
fu 	傅	c=1 d=0.941765 t=2579
fu dao 	付到	c=4 d=1.97284 t=2579
fu jian 	福建	c=1 d=0.0103063 t=2579
fu shi 	服飾	c=1 d=0.00814786 t=2579
fu tian 	福田	c=1 d=0.0124629 t=2579
fu wu 	服務	c=1 d=0.970446 t=2579
fu wu qi 	服務器	c=1 d=0.606531 t=2579
fu wu ye 	服務業	c=1 d=1 t=1735
fu yin 	覆印	c=1 d=1 t=1635
fu zhai biao 	負債表	c=2 d=0.0135436 t=2579
gai 	改	c=5 d=1.26973 t=2579
gai 	蓋	c=2 d=0.970446 t=2579
gai ban 	改版	c=1 d=0.143704 t=2579
gai bian 	改變	c=1 d=0.965605 t=2579
gai cheng 	改成	c=1 d=0.99005 t=2579
gai hui lai 	改回來	c=1 d=1 t=1321
gai wei 	改爲	c=1 d=0.995012 t=2579
gang 	剛	c=4 d=0.210136 t=2579
gang hua 	鋼化	c=1 d=0.219808 t=2579
gao 	搞	c=2 d=0.954524 t=2579
gao 	高	c=1 d=0.831104 t=2579
gao bu ding 	搞不定	c=1 d=0.574072 t=2579
gao bu dong 	搞不懂	c=1 d=0.19398 t=2579
gao ding 	搞定	c=1 d=0.0746459 t=2579
gao qing chu 	搞清楚	c=1 d=1 t=1431
gao xin 	高新	c=1 d=1 t=1571
ge 	個	c=14 d=1.97804 t=2579
ge shui 	個稅	c=2 d=0.805059 t=2579
ge xiang 	各項	c=1 d=0.00786762 t=2579
ge yue 	個月	c=2 d=1.44933 t=1942
gei 	給	c=14 d=1.35373 t=2579
gen 	跟	c=1 d=0.00744658 t=2579
gen ben 	根本	c=1 d=1 t=1159
gen da 	跟打	c=2 d=0.0165847 t=2579
gen ju 	根據	c=1 d=0.00775048 t=2579
gen zong 	跟蹤	c=1 d=1 t=1801
geng 	更	c=3 d=1.18494 t=2579
geng da 	更大	c=1 d=1 t=1244
geng duo 	更多	c=1 d=0.160414 t=2579
geng zheng 	更正	c=1 d=1 t=1482
gong cheng 	工程	c=2 d=1.96079 t=2093
gong gao 	公告	c=2 d=0.414783 t=2579
gong hu 	公戶	c=0 d=0.1 t=2361
gong ji jin 	公積金	c=2 d=0.34461 t=2579
gong shang 	工商	c=1 d=1 t=2284
gong si 	公司	c=6 d=1.27689 t=2579
gong zhang 	公章	c=1 d=0.377192 t=2579
gou 	勾	c=1 d=0.878095 t=2579
gou 	購	c=0 d=0.1 t=1929
gou tong 	溝通	c=1 d=0.0655462 t=2579
gou xuan 	勾選	c=4 d=2.48131 t=1485
gu ding 	固定	c=1 d=0.0442639 t=2579
gu ding geng 	固定更	c=1 d=0.00918669 t=2579
gu ji 	估計	c=4 d=0.066205 t=2579
gua zai 	掛載	c=1 d=0.00631391 t=2579
guan 	管	c=1 d=0.00548905 t=2579
guan li ju 	管理局	c=1 d=0.416862 t=2579
guan xi 	關系	c=1 d=0.135335 t=2579
guan xi 	關西	c=1 d=0.13466 t=2579
guang 	廣	c=1 d=1 t=1305
gui 	貴	c=1 d=1 t=1575
gui tai 	櫃臺	c=1 d=0.0157644 t=2579
gun dong 	滾動	c=1 d=0.0128424 t=2579
guo 	過	c=9 d=1.13985 t=2579
guo ji 	國際	c=3 d=0.252498 t=2579
guo ji shang mao 	國際商貿	c=1 d=0.657047 t=2579
guo qu 	過去	c=1 d=1 t=2281
ha ha 	哈哈	c=4 d=0.434566 t=2579
hai 	還	c=8 d=1.30124 t=2579
hai mei 	還沒	c=4 d=0.756311 t=2579
hai nan 	海南	c=2 d=1.94176 t=1288
hai shi 	還是	c=8 d=1.72561 t=2579
hai yao 	還要	c=1 d=1 t=1937
hai yong 	還用	c=1 d=0.293758 t=2579
hai you 	還有	c=7 d=0.99422 t=2579
hai zao 	還早	c=1 d=1 t=1786
han 	汗	c=4 d=0.925399 t=2579
han 	漢	c=1 d=0.65377 t=2579
hao 	好	c=35 d=4.46165 t=2579
hao 	號	c=2 d=0.666977 t=2579
hao chu 	好處	c=1 d=1 t=1656
hao dian 	好點	c=1 d=0.143704 t=2579
hao duo 	好多	c=2 d=0.847902 t=2579
hao kan 	好看	c=1 d=0.283654 t=2579
hao ma 	號碼	c=2 d=0.701173 t=2579
hao shi 	好事	c=1 d=0.107528 t=2579
hao xiang 	好像	c=1 d=1 t=1484
hao zai 	好在	c=1 d=0.0692522 t=2579
he 	何	c=2 d=1.01841 t=2323
he 	合	c=1 d=1 t=1550
he 	和	c=9 d=1.14008 t=2579
he 	盒	c=2 d=0.0204078 t=2579
he dui 	核對	c=1 d=0.0115047 t=2579
he ji 	合計	c=3 d=0.305746 t=2579
he tong 	合同	c=2 d=1.989 t=2421
hei hei 	嘿嘿	c=1 d=1 t=1523
hen 	很	c=1 d=0.242926 t=2579
hen duo 	很多	c=2 d=0.0471288 t=2579
hen ji 	很急	c=1 d=1 t=1409
hen kuai 	很快	c=1 d=1 t=2488
hen nan 	很難	c=1 d=0.0526021 t=2579
hong se 	紅色	c=1 d=0.913931 t=2579
hou 	後	c=4 d=0.147241 t=2579
hou mian 	後面	c=3 d=0.88692 t=2579
hou xuan 	候選	c=0 d=0.0985112 t=2579
hou xuan kuang 	候選框	c=1 d=0.99005 t=2579
hu 	戶	c=1 d=0.00880368 t=2579
hua 	畫	c=1 d=0.22329 t=2579
hua 	華	c=1 d=1 t=1533
hua 	話	c=5 d=1.58915 t=2579
hua bao 	華寶	c=1 d=0.00843808 t=2579
hua bo li 	畫玻璃	c=1 d=0.782705 t=2579
hua diao 	花掉	c=1 d=1 t=1254
hua shuo 	華碩	c=1 d=1 t=2200
hua suan 	划算	c=1 d=1 t=1514
hua yuan 	花園	c=1 d=0.0195457 t=2579
huan ying 	歡迎	c=1 d=0.00729913 t=2579
hui 	匯	c=1 d=1 t=1107
hui 	會	c=5 d=1.25603 t=2579
hui bu qu 	回不去	c=1 d=0.529935 t=2579
hui da 	回答	c=1 d=1 t=1439
hui dan 	回單	c=2 d=0.1764 t=2579
hui gou 	回購	c=1 d=0.831104 t=2579
hui qu 	回去	c=1 d=0.121846 t=2579
hui you 	會有	c=1 d=0.748264 t=2579
hun 	婚	c=1 d=1 t=1268
huo 	或	c=1 d=0.909373 t=2579
huo dai 	貨代	c=1 d=1 t=2456
huo qu 	獲取	c=1 d=0.282239 t=2579
huo wu 	貨物	c=1 d=1 t=1720
huo xu 	或許	c=1 d=0.19593 t=2579
ji 	吉	c=1 d=1 t=2141
ji 	寄	c=20 d=1.52342 t=2579
ji 	急	c=1 d=1 t=1417
ji ben 	基本	c=1 d=0.869358 t=2579
ji ben hu 	基本戶	c=1 d=0.0884781 t=2579
ji cha 	稽查	c=1 d=1 t=2109
ji ci 	幾次	c=1 d=0.634448 t=2579
ji de 	記得	c=2 d=0.101266 t=2579
ji du 	季度	c=1 d=1 t=2082
ji fu 	寄付	c=4 d=0.313486 t=2579
ji ge 	幾個	c=1 d=1 t=1232
ji ge yue 	幾個月	c=1 d=0.494109 t=2579
ji gei 	寄給	c=1 d=0.860708 t=2579
ji guo lai 	寄過來	c=1 d=0.010358 t=2579
ji hui 	機會	c=1 d=1 t=1280
ji li 	吉利	c=1 d=1 t=2138
ji lu 	記錄	c=1 d=1 t=1181
ji mao 	雞毛	c=1 d=1 t=1284
ji qi ren 	機器人	c=1 d=0.008396 t=2579
ji su 	極速	c=1 d=0.00737249 t=2579
ji suan 	計算	c=1 d=0.0564161 t=2579
ji wei 	幾位	c=1 d=0.140858 t=2579
ji ye 	幾頁	c=1 d=0.380983 t=2579
ji yong 	急用	c=1 d=1 t=2375
jia 	加	c=5 d=0.335815 t=2579
jia ge 	價格	c=1 d=0.348192 t=2579
jia ju 	家具	c=1 d=0.238115 t=2579
jia yuan 	家園	c=1 d=0.0197421 t=2579
jian 	件	c=1 d=1 t=1636
jian 	減	c=1 d=0.941765 t=2579
jian dan 	簡單	c=2 d=1.11136 t=1680
jian guan 	監管	c=1 d=0.00591656 t=2579
jian guan ju 	監管局	c=1 d=1 t=2332
jian hao 	減號	c=1 d=0.980199 t=2579
jian ti 	簡體	c=1 d=0.995012 t=2579
jian yan 	檢驗	c=1 d=1 t=1422
jiang 	江	c=1 d=0.102284 t=2579
jiang 	蔣	c=2 d=0.980199 t=2579
jiang lei 	江磊	c=2 d=0.152637 t=2579
jiang li 	獎勵	c=1 d=1 t=1872
jiang zi ya 	姜子牙	c=1 d=0.00882647 t=2579
jiang zong 	蔣總	c=4 d=1.27251 t=2579
jiao 	交	c=5 d=0.264179 t=2579
jiao 	叫	c=1 d=0.0642483 t=2579
jiao 	教	c=1 d=0.29671 t=2579
jiao fu 	交付	c=1 d=0.0450492 t=2579
jiao qian 	交錢	c=1 d=1 t=2120
jiao yu 	教育	c=1 d=0.0161635 t=2579
jie 	接	c=1 d=1 t=1985
jie 	街	c=1 d=0.101266 t=2579
jie dao 	接到	c=1 d=1 t=2398
jie dao 	街道	c=1 d=0.683861 t=2579
jie guo 	結果	c=1 d=0.960789 t=2579
jie jing 	捷徑	c=1 d=0.280832 t=2579
jie mi 	解密	c=1 d=1 t=2225
jie shao 	介紹	c=2 d=0.0241131 t=2579
jie shou 	接受	c=1 d=0.00794669 t=2579
jie shu 	結束	c=1 d=0.00843808 t=2579
jie song 	接送	c=1 d=0.162838 t=2579
jie tu 	截圖	c=2 d=0.958423 t=2579
jie zou 	節奏	c=1 d=0.013912 t=2579
jin 	進	c=2 d=1.44871 t=2579
jin 	金	c=2 d=0.514274 t=2579
jin chu kou 	進出口	c=2 d=0.621885 t=2579
jin e 	金額	c=5 d=0.696231 t=2579
jin lai 	進來	c=1 d=0.00975476 t=2579
jin nian 	今年	c=4 d=0.715338 t=2579
jin qu 	進去	c=2 d=0.162026 t=2579
jin shen 	謹慎	c=1 d=0.559898 t=2579
jin tian 	今天	c=4 d=0.424831 t=2579
jin xiang 	進項	c=5 d=0.307553 t=2579
jin xing 	進行	c=1 d=0.00782838 t=2579
jin zong 	金總	c=1 d=0.442639 t=2579
jing fei 	經費	c=1 d=0.0162445 t=2579
jing li 	經理	c=1 d=0.460704 t=2579
jing ying fan wei 	經營範圍	c=1 d=1 t=2566
jiu 	久	c=2 d=0.0275476 t=2579
jiu 	就	c=22 d=4.06122 t=2579
jiu 	玖	c=1 d=0.00937227 t=2579
jiu ming 	久鳴	c=1 d=0.0812682 t=2579
jiu shi 	就是	c=15 d=1.77024 t=2579
ju shuo 	據說	c=1 d=1 t=1277
ju ti 	具體	c=3 d=1.08246 t=2579
jue ding 	決定	c=1 d=1 t=2311
kai 	開	c=19 d=2.46229 t=2579
kai chu qu 	開出去	c=1 d=1 t=1140
kai guo 	開過	c=1 d=0.923116 t=2579
kai hao 	開好	c=1 d=0.0113334 t=2579
kai hu 	開戶	c=3 d=0.278003 t=2579
kai jin lai 	開進來	c=1 d=0.0513033 t=2579
kai piao 	開票	c=17 d=3.6488 t=2579
kai piao zi liao 	開票資料	c=1 d=0.0968105 t=2579
kai shi 	開始	c=4 d=3.68922 t=1566
kai tong 	開通	c=3 d=0.546617 t=2579
kan 	看	c=11 d=1.66054 t=2579
kan 	砍	c=1 d=0.0347353 t=2579
kan dao 	看到	c=2 d=1.00297 t=2337
kan kan 	看看	c=4 d=0.691795 t=2579
kao lv 	考慮	c=1 d=0.392586 t=2579
ke 	客	c=1 d=0.697676 t=2579
ke hu 	客戶	c=4 d=1.48173 t=2579
ke neng 	可能	c=1 d=0.187308 t=2579
ke xing 	可行	c=1 d=0.0132336 t=2579
ke yi 	可以	c=23 d=3.10735 t=2579
ke zhuan zhai 	可轉債	c=1 d=0.0800583 t=2579
ken ding 	肯定	c=4 d=0.891366 t=2579
kong 	空	c=1 d=0.244143 t=2579
kong tiao 	空調	c=2 d=1.96561 t=1848
kou 	扣	c=7 d=1.3819 t=2579
kou an 	口岸	c=1 d=0.494109 t=2579
kou shui 	扣稅	c=1 d=0.0953692 t=2579
ku fa 	酷發	c=3 d=0.701173 t=2579
kuai 	快	c=1 d=0.0105672 t=2579
kuai chuan 	快傳	c=1 d=0.597501 t=2579
kuai di 	快遞	c=5 d=0.394554 t=2579
kuai di fei 	快遞費	c=1 d=0.131336 t=2579
kuai ji 	會計	c=1 d=0.67032 t=2579
kuai ji shi 	會計師	c=1 d=1 t=2232
kuang 	框	c=0 d=0.0985112 t=2579
la 	啦	c=1 d=1 t=2487
la 	拉	c=2 d=1.08046 t=2467
la ji 	垃圾	c=1 d=0.0103063 t=2579
lai 	來	c=5 d=1.02533 t=2579
lao ban 	老板	c=2 d=0.729789 t=2579
lao ban niang 	老板娘	c=1 d=1 t=1775
lao gong 	老公	c=1 d=1 t=1292
lao ke hu 	老客戶	c=2 d=0.0434328 t=2579
lao wai 	老外	c=1 d=1 t=2419
lao zong 	老總	c=1 d=0.0652193 t=2579
le 	了	c=81 d=8.68534 t=2579
le 	樂	c=1 d=0.0106734 t=2579
le lang 	樂朗	c=2 d=0.0198411 t=2579
lei bie 	類別	c=1 d=0.0113334 t=2579
lei ji 	累計	c=1 d=1.08511 t=1604
lei ji shu 	累計數	c=2 d=1.90937 t=1624
lei si 	類似	c=1 d=1 t=1424
li 	李	c=1 d=0.0192547 t=2579
li 	立	c=1 d=0.995012 t=2579
li 	裏	c=6 d=1.4719 t=2579
li 	離	c=2 d=1.5627 t=1381
li hun 	離婚	c=1 d=1 t=1295
li lun shang 	理論上	c=1 d=0.055299 t=2579
li run 	利潤	c=0 d=0.000663763 t=2579
li run biao 	利潤表	c=2 d=0.0135107 t=2579
li xi 	利息	c=1 d=0.0135009 t=2579
li xin 	立新	c=1 d=1 t=1562
li zi 	例子	c=1 d=0.97531 t=2579
lian 	聯	c=1 d=0.251887 t=2579
lian ci 	聯次	c=1 d=0.226502 t=2579
lian jie 	連接	c=1 d=0.650509 t=2579
lian shang 	連上	c=1 d=0.588605 t=2579
lian xi 	聯系	c=1 d=0.0134335 t=2579
lian xiang 	聯想	c=1 d=0.00687406 t=2579
liang ge 	兩個	c=1 d=0.0405589 t=2579
liang zhang 	兩張	c=1 d=0.357007 t=2579
liao jie 	瞭解	c=1 d=0.209088 t=2579
ling 	零	c=1 d=0.0134335 t=2579
ling san 	零散	c=0 d=0.1 t=1057
ling yi ge 	另一個	c=1 d=1 t=2378
ling yong 	領用	c=1 d=0.0426384 t=2579
liu di 	留底	c=1 d=0.321422 t=2579
liu liang 	流量	c=1 d=0.199888 t=2579
liu shui 	流水	c=6 d=2.0619 t=2579
long 	龍	c=2 d=0.0977834 t=2579
lou 	樓	c=1 d=0.67368 t=2579
lou 	漏	c=1 d=1 t=1394
lu 	璐	c=1 d=0.00694315 t=2579
lu 	路	c=1 d=1.01028 t=2098
lu you qi 	路由器	c=2 d=1.99005 t=2201
luo 	駱	c=5 d=0.904837 t=2579
luo shi 	落實	c=2 d=1.95123 t=1765
lv xing 	旅行	c=1 d=0.0104621 t=2579
lv you 	旅遊	c=1 d=1 t=1251
ma 	嗎	c=38 d=4.34548 t=2579
ma fan 	麻煩	c=4 d=0.0590129 t=2579
mai 	買	c=1 d=1 t=1247
mai ke feng 	麥克風	c=1 d=0.287941 t=2579
man 	慢	c=1 d=0.0140519 t=2579
man 	曼	c=1 d=1 t=1146
man 	滿	c=1 d=1 t=1938
man 	蠻	c=1 d=0.748264 t=2579
mang 	忙	c=2 d=0.481013 t=2579
mei 	沒	c=39 d=5.19095 t=2579
mei cuo 	沒錯	c=1 d=0.344728 t=2579
mei fa 	沒法	c=4 d=1.90511 t=2579
