# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	2584
#@/user_id	gudk
a 	啊	c=21 d=2.40962 t=2584
bian qu 	變去	c=1 d=0.0235177 t=2584
biao 	表	c=1 d=0.434666 t=2584
biao 	鏢	c=2 d=0.0172173 t=2584
biao zhun 	標準	c=1 d=0.0788664 t=2584
bie 	別	c=2 d=0.733447 t=2584
bie de 	別的	c=1 d=0.111917 t=2584
bie ren 	別人	c=2 d=1.00944 t=2584
bing 	並	c=1 d=0.008271 t=2584
bo li 	玻璃	c=1 d=0.226581 t=2584
bo yang 	博陽	c=1 d=0.353455 t=2584
bu 	不	c=9 d=1.40739 t=2584
bu 	補	c=1 d=0.00729913 t=2584
bu 	部	c=1 d=0.0223708 t=2584
bu cha 	不差	c=2 d=1.19537 t=2584
bu da 	不大	c=1 d=0.0253494 t=2584
bu ding 	不定	c=1 d=0.0668703 t=2584
bu duo 	不多	c=1 d=0.540641 t=2584
bu fen 	部分	c=1 d=0.852144 t=2584
bu gou 	不夠	c=6 d=0.806541 t=2584
bu gui fan 	不規範	c=1 d=0.25284 t=2584
bu hui 	不會	c=5 d=0.634448 t=2584
bu jie 	不接	c=1 d=0.0124007 t=2584
bu kai 	不開	c=1 d=0.410656 t=2584
bu ke neng 	不可能	c=1 d=0.00190171 t=2584
bu ke qi 	不客氣	c=1 d=0.239309 t=2584
bu le 	不了	c=1 d=0.118837 t=2584
bu neng 	不能	c=7 d=1.2407 t=2584
bu qi 	不齊	c=1 d=0.0120946 t=2584
bu shang 	不上	c=2 d=0.65377 t=2584
bu shi 	不是	c=7 d=1.18107 t=2584
bu suan 	不算	c=2 d=0.0881614 t=2584
bu tai 	不太	c=2 d=0.790571 t=2584
bu xing 	不行	c=4 d=1.88412 t=2584
bu xu yao 	不需要	c=1 d=0.847894 t=2584
bu yao 	不要	c=1 d=0.588605 t=2584
bu yi ding 	不一定	c=1 d=0.036334 t=2584
bu yi yang 	不一樣	c=2 d=0.923116 t=2584
bu yong 	不用	c=7 d=2.80306 t=2584
bu zhao ji 	不着急	c=1 d=0.121846 t=2584
bu zhi 	不止	c=1 d=0.839457 t=2584
bu zhi dao 	不知道	c=2 d=0.865256 t=2584
bu zhi yu 	不至於	c=1 d=0.0381969 t=2584
bu zuo 	不做	c=1 d=0.00104891 t=2584
cai 	彩	c=2 d=0.0252394 t=2584
cai 	才	c=1 d=0.00162053 t=2584
cai 	蔡	c=2 d=0.335318 t=2584
cai dan 	菜單	c=2 d=0.680451 t=2584
cai gou 	採購	c=1 d=0.38868 t=2584
cai liao 	材料	c=2 d=0.054204 t=2584
cai wu 	財務	c=2 d=0.246217 t=2584
can 	燦	c=1 d=0.075774 t=2584
cao zuo 	操作	c=3 d=0.839457 t=2584
ce shi 	測試	c=2 d=0.975778 t=2584
cha 	差	c=2 d=0.740818 t=2584
cha 	查	c=3 d=0.941765 t=2584
cha bu duo 	差不多	c=1 d=0.212248 t=2584
cha kan 	查看	c=1 d=0.00895987 t=2584
chang qi 	長期	c=1 d=0.410656 t=2584
chao 	超	c=3 d=0.294689 t=2584
chao jia 	吵架	c=1 d=0.937067 t=2584
chao shi 	超時	c=1 d=0.0162445 t=2584
che hui 	撤回	c=1 d=0.618783 t=2584
che xiao 	撤銷	c=1 d=0.847894 t=2584
chen 	晨	c=1 d=0.0862936 t=2584
chen 	琛	c=1 d=0.0898153 t=2584
chen 	辰	c=1 d=0.0867261 t=2584
chen 	陳	c=1 d=0.101774 t=2584
cheng 	城	c=3 d=0.66034 t=2584
cheng bei 	城北	c=0 d=0.000927901 t=2584
cheng bei lu 	城北路	c=2 d=0.0187448 t=2584
cheng du 	程度	c=1 d=1 t=2584
cheng gong 	成功	c=2 d=0.154124 t=2584
cheng ji 	成績	c=2 d=0.0175277 t=2584
cheng xu 	程序	c=1 d=0.621885 t=2584
chong kai 	重開	c=1 d=0.122456 t=2584
chong qi 	重啓	c=2 d=1.2407 t=2584
chong xin 	重新	c=3 d=0.995012 t=2584
chong zhi 	重置	c=3 d=2.23125 t=2584
chou cheng 	稠城	c=1 d=0.00923273 t=2584
chou zhou 	稠州	c=1 d=0.0175097 t=2584
chu 	出	c=1 d=0.147342 t=2584
chu kou 	出口	c=1 d=0.722527 t=2584
chu lai 	出來	c=2 d=0.438933 t=2584
chu li 	處理	c=4 d=0.726149 t=2584
chuang kou 	窗口	c=3 d=0.204948 t=2584
chun 	春	c=1 d=0.0862936 t=2584
ci 	詞	c=1 d=0.995012 t=2584
ci ku 	詞庫	c=1 d=0.0205478 t=2584
cui 	催	c=2 d=0.0189451 t=2584
cun 	存	c=1 d=0.0378169 t=2584
cun 	村	c=1 d=0.690734 t=2584
cuo 	錯	c=1 d=0.00744658 t=2584
da 	大	c=2 d=0.985112 t=2584
da 	打	c=5 d=1.54711 t=2584
da bing 	大病	c=1 d=0.010889 t=2584
da can 	大餐	c=1 d=0.913931 t=2584
da e 	大額	c=1 d=0.00571306 t=2584
da gai 	大概	c=1 d=0.477114 t=2584
da gou 	打勾	c=3 d=2.77425 t=2584
da kai 	打開	c=2 d=1.92644 t=2584
da lao 	大老	c=0 d=0.000680566 t=2584
da lao ban 	大老板	c=2 d=0.0385843 t=2584
da qian 	打錢	c=1 d=0.0152222 t=2584
da xie 	大寫	c=1 d=0.00532682 t=2584
da yin 	打印	c=2 d=1.55141 t=2584
da zhi 	大致	c=1 d=0.438235 t=2584
da zi 	打字	c=1 d=0.843665 t=2584
dai 	帶	c=2 d=0.021998 t=2584
dai 	袋	c=2 d=0.0209252 t=2584
dai li fei 	代理費	c=1 d=0.0265162 t=2584
dai ma 	代碼	c=1 d=0.000649051 t=2584
dan 	但	c=1 d=0.151829 t=2584
dan 	單	c=1 d=0.551563 t=2584
dan hao 	單號	c=1 d=0.000816895 t=2584
dan shi 	但是	c=1 d=0.0944202 t=2584
dan xin 	擔心	c=1 d=0.628135 t=2584
dang 	當	c=1 d=0.289384 t=2584
dang an 	檔案	c=3 d=0.565366 t=2584
dang tian 	當天	c=1 d=0.814647 t=2584
dao 	到	c=8 d=0.743242 t=2584
dao ban 	盜版	c=1 d=0.00914087 t=2584
dao fu 	到付	c=1 d=0.075774 t=2584
dao ru 	導入	c=3 d=0.980199 t=2584
dao shi 	倒是	c=1 d=0.0250972 t=2584
de 	得	c=2 d=0.393197 t=2584
de 	的	c=150 d=13.3074 t=2584
deng 	等	c=3 d=0.955723 t=2584
deng lu 	登錄	c=1 d=0.752014 t=2584
deng xia 	等下	c=4 d=1.13318 t=2584
di 	低	c=1 d=0.0227089 t=2584
di 	第	c=1 d=0.904837 t=2584
di er 	第二	c=2 d=0.99005 t=2584
di fang 	地方	c=2 d=0.740818 t=2584
di kou 	抵扣	c=2 d=0.0231078 t=2584
di kou lian 	抵扣聯	c=1 d=0.232236 t=2584
di san fang 	第三方	c=1 d=0.283654 t=2584
di yi nian 	第一年	c=1 d=0.000581442 t=2584
di yi wei 	第一位	c=1 d=0.980199 t=2584
di zhi 	地址	c=2 d=0.843665 t=2584
dian 	點	c=8 d=0.760111 t=2584
dian hua 	電話	c=7 d=0.790571 t=2584
dian nao 	電腦	c=5 d=2.26128 t=2584
dian zi 	電子	c=8 d=1.03501 t=2584
diao 	掉	c=9 d=0.852144 t=2584
ding 	定	c=1 d=0.000804733 t=2584
ding cang 	定艙	c=1 d=0.519442 t=2584
ding qi 	定期	c=1 d=0.0130365 t=2584
dong 	動	c=1 d=0.0017643 t=2584
dong 	懂	c=1 d=0.115325 t=2584
dong 	東	c=1 d=0.00927901 t=2584
dong bu dong 	動不動	c=1 d=0.0248475 t=2584
dong yang 	東陽	c=2 d=0.369204 t=2584
dou 	都	c=13 d=2.1166 t=2584
dou shi 	都是	c=4 d=0.817603 t=2584
dou yong 	都用	c=2 d=0.70822 t=2584
du qu 	讀取	c=2 d=1.6652 t=2584
du ru 	讀入	c=1 d=0.04573 t=2584
duan qi 	短期	c=1 d=0.0254765 t=2584
duan xin 	短信	c=1 d=0.0298969 t=2584
duan yu 	短語	c=2 d=1.23793 t=2584
dui 	對	c=14 d=2.3821 t=2584
dui bu shang 	對不上	c=1 d=0.00771183 t=2584
dui fang 	對方	c=1 d=0.255381 t=2584
dui gong hu 	對公戶	c=1 d=0.337902 t=2584
dui ying 	對應	c=3 d=0.858921 t=2584
duo 	多	c=5 d=1.22063 t=2584
duo da 	多大	c=2 d=0.986125 t=2584
duo shao 	多少	c=2 d=0.71177 t=2584
duo wan 	多萬	c=1 d=0.373439 t=2584
e 	額	c=3 d=0.00179464 t=2584
en 	嗯	c=18 d=1.94111 t=2584
er wei ma 	二維碼	c=1 d=0.000668817 t=2584
fa 	法	c=1 d=0.628135 t=2584
fa 	發	c=12 d=1.49516 t=2584
fa dao 	發到	c=1 d=0.0300468 t=2584
fa piao 	發票	c=20 d=2.15348 t=2584
fa ren 	法人	c=2 d=0.83527 t=2584
fa wen 	發文	c=2 d=0.0164209 t=2584
fa wo 	發我	c=1 d=0.0871609 t=2584
fa xian 	發現	c=2 d=0.0112381 t=2584
fan 	凡	c=1 d=0.00810722 t=2584
fan xi 	梵喜	c=2 d=0.126585 t=2584
fan ye 	翻頁	c=2 d=1.96536 t=2584
fang 	方	c=4 d=1.37859 t=2584
fang 	芳	c=1 d=0.00663763 t=2584
fang 	防	c=1 d=0.606531 t=2584
fang an 	方案	c=1 d=0.980199 t=2584
fang bian 	方便	c=3 d=1.54655 t=2584
fang dong 	房東	c=1 d=0.117655 t=2584
fang xin 	放心	c=1 d=0.00161245 t=2584
fang zhi 	紡織	c=1 d=0.0105145 t=2584
fang zi 	房子	c=2 d=0.00302573 t=2584
fei 	菲	c=1 d=0.00514361 t=2584
fei 	費	c=4 d=1.15203 t=2584
fei yong 	費用	c=4 d=0.062869 t=2584
fen gong si 	分公司	c=1 d=0.927743 t=2584
fen ju 	分局	c=1 d=0.0125254 t=2584
feng xian 	風險	c=3 d=0.00424917 t=2584
fou ze 	否則	c=5 d=0.237504 t=2584
fu 	付	c=7 d=0.204215 t=2584
fu 	傅	c=1 d=0.941765 t=2584
fu dao 	付到	c=4 d=1.97284 t=2584
fu jian 	福建	c=1 d=0.0103063 t=2584
fu shi 	服飾	c=1 d=0.00814786 t=2584
fu tian 	福田	c=1 d=0.0124629 t=2584
fu wu 	服務	c=1 d=0.970446 t=2584
fu wu qi 	服務器	c=1 d=0.606531 t=2584
fu wu ye 	服務業	c=1 d=0.0146986 t=2584
fu yin 	覆印	c=1 d=0.00891518 t=2584
fu zhai biao 	負債表	c=2 d=0.0135436 t=2584
gai 	改	c=5 d=1.26973 t=2584
gai 	蓋	c=2 d=0.970446 t=2584
gai ban 	改版	c=1 d=0.143704 t=2584
gai bian 	改變	c=1 d=0.965605 t=2584
gai cheng 	改成	c=1 d=0.99005 t=2584
gai hui lai 	改回來	c=1 d=0.00185476 t=2584
gai wei 	改爲	c=1 d=0.995012 t=2584
gang 	剛	c=4 d=0.210136 t=2584
gang hua 	鋼化	c=1 d=0.219808 t=2584
gao 	搞	c=2 d=0.954524 t=2584
gao 	高	c=1 d=0.831104 t=2584
gao bu ding 	搞不定	c=1 d=0.574072 t=2584
gao bu dong 	搞不懂	c=1 d=0.19398 t=2584
gao ding 	搞定	c=1 d=0.0746459 t=2584
gao qing chu 	搞清楚	c=1 d=0.00321477 t=2584
gao xin 	高新	c=1 d=0.00647375 t=2584
ge 	個	c=14 d=1.97804 t=2584
ge shui 	個稅	c=2 d=0.805059 t=2584
ge xiang 	各項	c=1 d=0.00786762 t=2584
ge yue 	個月	c=2 d=0.0599707 t=2584
gei 	給	c=14 d=1.35373 t=2584
gen 	跟	c=1 d=0.00744658 t=2584
gen ben 	根本	c=1 d=0.000825105 t=2584
gen da 	跟打	c=2 d=0.0165847 t=2584
gen ju 	根據	c=1 d=0.00775048 t=2584
gen zong 	跟蹤	c=1 d=0.0204453 t=2584
geng 	更	c=3 d=1.18494 t=2584
geng da 	更大	c=1 d=0.00126207 t=2584
geng duo 	更多	c=1 d=0.160414 t=2584
geng zheng 	更正	c=1 d=0.00414854 t=2584
gong cheng 	工程	c=2 d=0.172622 t=2584
gong gao 	公告	c=2 d=0.414783 t=2584
gong hu 	公戶	c=0 d=0.0336216 t=2584
gong ji jin 	公積金	c=2 d=0.34461 t=2584
gong shang 	工商	c=1 d=0.228779 t=2584
gong si 	公司	c=6 d=1.27689 t=2584
gong zhang 	公章	c=1 d=0.377192 t=2584
gou 	勾	c=1 d=0.878095 t=2584
gou 	購	c=0 d=0.00387742 t=2584
gou tong 	溝通	c=1 d=0.0655462 t=2584
gou xuan 	勾選	c=4 d=0.0104494 t=2584
gu ding 	固定	c=1 d=0.0442639 t=2584
gu ding geng 	固定更	c=1 d=0.00918669 t=2584
gu ji 	估計	c=4 d=0.066205 t=2584
gua zai 	掛載	c=1 d=0.00631391 t=2584
guan 	管	c=1 d=0.00548905 t=2584
guan li ju 	管理局	c=1 d=0.416862 t=2584
guan xi 	關系	c=1 d=0.135335 t=2584
guan xi 	關西	c=1 d=0.13466 t=2584
guang 	廣	c=1 d=0.00171216 t=2584
gui 	貴	c=1 d=0.00660453 t=2584
gui tai 	櫃臺	c=1 d=0.0157644 t=2584
gun dong 	滾動	c=1 d=0.0128424 t=2584
guo 	過	c=9 d=1.13985 t=2584
guo ji 	國際	c=3 d=0.252498 t=2584
guo ji shang mao 	國際商貿	c=1 d=0.657047 t=2584
guo qu 	過去	c=1 d=0.225373 t=2584
ha ha 	哈哈	c=4 d=0.434566 t=2584
hai 	還	c=8 d=1.30124 t=2584
hai mei 	還沒	c=4 d=0.756311 t=2584
hai nan 	海南	c=2 d=0.00305369 t=2584
hai shi 	還是	c=8 d=1.72561 t=2584
hai yao 	還要	c=1 d=0.0403566 t=2584
hai yong 	還用	c=1 d=0.293758 t=2584
hai you 	還有	c=7 d=0.99422 t=2584
hai zao 	還早	c=1 d=0.018968 t=2584
han 	汗	c=4 d=0.925399 t=2584
han 	漢	c=1 d=0.65377 t=2584
hao 	好	c=35 d=4.46165 t=2584
hao 	號	c=2 d=0.666977 t=2584
hao chu 	好處	c=1 d=0.00990218 t=2584
hao dian 	好點	c=1 d=0.143704 t=2584
hao duo 	好多	c=2 d=0.847902 t=2584
hao kan 	好看	c=1 d=0.283654 t=2584
hao ma 	號碼	c=2 d=0.701173 t=2584
hao shi 	好事	c=1 d=0.107528 t=2584
hao xiang 	好像	c=1 d=0.00419023 t=2584
hao zai 	好在	c=1 d=0.0692522 t=2584
he 	何	c=2 d=0.283156 t=2584
he 	合	c=1 d=0.00582847 t=2584
he 	和	c=9 d=1.14008 t=2584
he 	盒	c=2 d=0.0204078 t=2584
he dui 	核對	c=1 d=0.0115047 t=2584
he ji 	合計	c=3 d=0.305746 t=2584
he tong 	合同	c=2 d=0.902697 t=2584
hei hei 	嘿嘿	c=1 d=0.00509243 t=2584
hen 	很	c=1 d=0.242926 t=2584
hen duo 	很多	c=2 d=0.0471288 t=2584
hen ji 	很急	c=1 d=0.0028799 t=2584
hen kuai 	很快	c=1 d=0.634448 t=2584
hen nan 	很難	c=1 d=0.0526021 t=2584
hong se 	紅色	c=1 d=0.913931 t=2584
hou 	後	c=4 d=0.147241 t=2584
hou mian 	後面	c=3 d=0.88692 t=2584
hou xuan 	候選	c=0 d=0.0985112 t=2584
hou xuan kuang 	候選框	c=1 d=0.99005 t=2584
hu 	戶	c=1 d=0.00880368 t=2584
hua 	畫	c=1 d=0.22329 t=2584
hua 	華	c=1 d=0.00535353 t=2584
hua 	話	c=5 d=1.58915 t=2584
hua bao 	華寶	c=1 d=0.00843808 t=2584
hua bo li 	畫玻璃	c=1 d=0.782705 t=2584
hua diao 	花掉	c=1 d=0.00132678 t=2584
hua shuo 	華碩	c=1 d=0.150318 t=2584
hua suan 	划算	c=1 d=0.00486835 t=2584
hua yuan 	花園	c=1 d=0.0195457 t=2584
huan ying 	歡迎	c=1 d=0.00729913 t=2584
hui 	匯	c=1 d=0.000636198 t=2584
hui 	會	c=5 d=1.25603 t=2584
hui bu qu 	回不去	c=1 d=0.529935 t=2584
hui da 	回答	c=1 d=0.00334597 t=2584
hui dan 	回單	c=2 d=0.1764 t=2584
hui gou 	回購	c=1 d=0.831104 t=2584
hui qu 	回去	c=1 d=0.121846 t=2584
hui you 	會有	c=1 d=0.748264 t=2584
hun 	婚	c=1 d=0.00142298 t=2584
huo 	或	c=1 d=0.909373 t=2584
huo dai 	貨代	c=1 d=0.540641 t=2584
huo qu 	獲取	c=1 d=0.282239 t=2584
huo wu 	貨物	c=1 d=0.0136366 t=2584
huo xu 	或許	c=1 d=0.19593 t=2584
ji 	吉	c=1 d=0.111917 t=2584
ji 	寄	c=20 d=1.52342 t=2584
ji 	急	c=1 d=0.00299743 t=2584
ji ben 	基本	c=1 d=0.869358 t=2584
ji ben hu 	基本戶	c=1 d=0.0884781 t=2584
ji cha 	稽查	c=1 d=0.0953692 t=2584
ji ci 	幾次	c=1 d=0.634448 t=2584
ji de 	記得	c=2 d=0.101266 t=2584
ji du 	季度	c=1 d=0.0833256 t=2584
ji fu 	寄付	c=4 d=0.313486 t=2584
ji ge 	幾個	c=1 d=0.00118858 t=2584
ji ge yue 	幾個月	c=1 d=0.494109 t=2584
ji gei 	寄給	c=1 d=0.860708 t=2584
ji guo lai 	寄過來	c=1 d=0.010358 t=2584
ji hui 	機會	c=1 d=0.00151098 t=2584
ji li 	吉利	c=1 d=0.110251 t=2584
ji lu 	記錄	c=1 d=0.000921047 t=2584
ji mao 	雞毛	c=1 d=0.0015415 t=2584
ji qi ren 	機器人	c=1 d=0.008396 t=2584
ji shi 	祭師	c=1 d=1 t=2584
ji su 	極速	c=1 d=0.00737249 t=2584
ji suan 	計算	c=1 d=0.0564161 t=2584
ji wei 	幾位	c=1 d=0.140858 t=2584
ji ye 	幾頁	c=1 d=0.380983 t=2584
ji yong 	急用	c=1 d=0.360595 t=2584
jia 	加	c=5 d=0.335815 t=2584
jia ge 	價格	c=1 d=0.348192 t=2584
jia ju 	家具	c=1 d=0.238115 t=2584
jia yuan 	家園	c=1 d=0.0197421 t=2584
jian 	件	c=1 d=0.00895987 t=2584
jian 	減	c=1 d=0.941765 t=2584
jian dan 	簡單	c=2 d=0.012408 t=2584
jian guan 	監管	c=1 d=0.00591656 t=2584
jian guan ju 	監管局	c=1 d=0.290835 t=2584
jian hao 	減號	c=1 d=0.980199 t=2584
jian ti 	簡體	c=1 d=0.995012 t=2584
jian yan 	檢驗	c=1 d=0.00307331 t=2584
jiang 	江	c=1 d=0.102284 t=2584
jiang 	蔣	c=2 d=0.980199 t=2584
jiang lei 	江磊	c=2 d=0.152637 t=2584
jiang li 	獎勵	c=1 d=0.0291588 t=2584
jiang zi ya 	姜子牙	c=1 d=0.00882647 t=2584
jiang zong 	蔣總	c=4 d=1.27251 t=2584
jiao 	交	c=5 d=0.264179 t=2584
jiao 	叫	c=1 d=0.0642483 t=2584
jiao 	教	c=1 d=0.29671 t=2584
jiao fu 	交付	c=1 d=0.0450492 t=2584
jiao qian 	交錢	c=1 d=0.100761 t=2584
jiao yu 	教育	c=1 d=0.0161635 t=2584
jie 	接	c=1 d=0.0513033 t=2584
jie 	街	c=1 d=0.101266 t=2584
jie dao 	接到	c=1 d=0.404542 t=2584
jie dao 	街道	c=1 d=0.683861 t=2584
jie guo 	結果	c=1 d=0.960789 t=2584
jie jing 	捷徑	c=1 d=0.280832 t=2584
jie mi 	解密	c=1 d=0.170333 t=2584
jie shao 	介紹	c=2 d=0.0241131 t=2584
jie shou 	接受	c=1 d=0.00794669 t=2584
jie shu 	結束	c=1 d=0.00843808 t=2584
jie song 	接送	c=1 d=0.162838 t=2584
jie tu 	截圖	c=2 d=0.958423 t=2584
jie zou 	節奏	c=1 d=0.013912 t=2584
jin 	進	c=2 d=1.44871 t=2584
jin 	金	c=2 d=0.514274 t=2584
jin chu kou 	進出口	c=2 d=0.621885 t=2584
jin e 	金額	c=5 d=0.696231 t=2584
jin lai 	進來	c=1 d=0.00975476 t=2584
jin nian 	今年	c=4 d=0.715338 t=2584
jin qu 	進去	c=2 d=0.162026 t=2584
jin shen 	謹慎	c=1 d=0.559898 t=2584
jin tian 	今天	c=4 d=0.424831 t=2584
jin xiang 	進項	c=5 d=0.307553 t=2584
jin xing 	進行	c=1 d=0.00782838 t=2584
jin zong 	金總	c=1 d=0.442639 t=2584
jing fei 	經費	c=1 d=0.0162445 t=2584
jing li 	經理	c=1 d=0.460704 t=2584
jing ying fan wei 	經營範圍	c=1 d=0.937067 t=2584
jiu 	久	c=2 d=0.0275476 t=2584
jiu 	就	c=22 d=4.06122 t=2584
jiu 	玖	c=1 d=0.00937227 t=2584
jiu ming 	久鳴	c=1 d=0.0812682 t=2584
jiu shi 	就是	c=15 d=1.77024 t=2584
ju shuo 	據說	c=1 d=0.00148848 t=2584
ju ti 	具體	c=3 d=1.08246 t=2584
jue ding 	決定	c=1 d=0.261846 t=2584
kai 	開	c=19 d=2.46229 t=2584
kai chu qu 	開出去	c=1 d=0.000750328 t=2584
kai guo 	開過	c=1 d=0.923116 t=2584
kai hao 	開好	c=1 d=0.0113334 t=2584
kai hu 	開戶	c=3 d=0.278003 t=2584
kai jin lai 	開進來	c=1 d=0.0513033 t=2584
kai piao 	開票	c=17 d=3.6488 t=2584
kai piao zi liao 	開票資料	c=1 d=0.0968105 t=2584
kai shi 	開始	c=4 d=0.0232934 t=2584
kai tong 	開通	c=3 d=0.546617 t=2584
kan 	看	c=11 d=1.66054 t=2584
kan 	砍	c=1 d=0.0347353 t=2584
kan dao 	看到	c=2 d=0.299083 t=2584
kan kan 	看看	c=4 d=0.691795 t=2584
kao lv 	考慮	c=1 d=0.392586 t=2584
ke 	客	c=1 d=0.697676 t=2584
ke hu 	客戶	c=4 d=1.48173 t=2584
ke neng 	可能	c=1 d=0.187308 t=2584
ke xing 	可行	c=1 d=0.0132336 t=2584
ke yi 	可以	c=23 d=3.10735 t=2584
ke zhuan zhai 	可轉債	c=1 d=0.0800583 t=2584
ken ding 	肯定	c=4 d=0.891366 t=2584
kong 	空	c=1 d=0.244143 t=2584
kong tiao 	空調	c=2 d=0.0508336 t=2584
kou 	扣	c=7 d=1.3819 t=2584
kou an 	口岸	c=1 d=0.494109 t=2584
kou shui 	扣稅	c=1 d=0.0953692 t=2584
ku fa 	酷發	c=3 d=0.701173 t=2584
kuai 	快	c=1 d=0.0105672 t=2584
kuai chuan 	快傳	c=1 d=0.597501 t=2584
kuai di 	快遞	c=5 d=0.394554 t=2584
kuai di fei 	快遞費	c=1 d=0.131336 t=2584
kuai ji 	會計	c=1 d=0.67032 t=2584
kuai ji shi 	會計師	c=1 d=0.1764 t=2584
kuang 	框	c=0 d=0.0985112 t=2584
la 	啦	c=1 d=0.631284 t=2584
la 	拉	c=2 d=0.617169 t=2584
la ji 	垃圾	c=1 d=0.0103063 t=2584
lai 	來	c=5 d=1.02533 t=2584
lao ban 	老板	c=2 d=0.729789 t=2584
lao ban niang 	老板娘	c=1 d=0.017953 t=2584
lao gong 	老公	c=1 d=0.00160441 t=2584
lao ke hu 	老客戶	c=2 d=0.0434328 t=2584
lao wai 	老外	c=1 d=0.449329 t=2584
lao zong 	老總	c=1 d=0.0652193 t=2584
le 	了	c=81 d=8.68534 t=2584
le 	樂	c=1 d=0.0106734 t=2584
le lang 	樂朗	c=2 d=0.0198411 t=2584
lei bie 	類別	c=1 d=0.0113334 t=2584
lei ji 	累計	c=1 d=0.00828492 t=2584
lei ji shu 	累計數	c=2 d=0.0161114 t=2584
lei si 	類似	c=1 d=0.0031042 t=2584
li 	李	c=1 d=0.0192547 t=2584
li 	立	c=1 d=0.995012 t=2584
li 	裏	c=6 d=1.4719 t=2584
li 	離	c=2 d=0.00391248 t=2584
li hun 	離婚	c=1 d=0.00162866 t=2584
li lun shang 	理論上	c=1 d=0.055299 t=2584
li run 	利潤	c=0 d=0.000663763 t=2584
li run biao 	利潤表	c=2 d=0.0135107 t=2584
li xi 	利息	c=1 d=0.0135009 t=2584
li xin 	立新	c=1 d=0.00618889 t=2584
li zi 	例子	c=1 d=0.97531 t=2584
lian 	聯	c=1 d=0.251887 t=2584
lian ci 	聯次	c=1 d=0.226502 t=2584
lian jie 	連接	c=1 d=0.650509 t=2584
lian shang 	連上	c=1 d=0.588605 t=2584
lian xi 	聯系	c=1 d=0.0134335 t=2584
lian xiang 	聯想	c=1 d=0.00687406 t=2584
liang ge 	兩個	c=1 d=0.0405589 t=2584
liang zhang 	兩張	c=1 d=0.357007 t=2584
liao jie 	瞭解	c=1 d=0.209088 t=2584
ling 	零	c=1 d=0.0134335 t=2584
ling san 	零散	c=0 d=4.95472e-05 t=2584
ling yi ge 	另一個	c=1 d=0.366045 t=2584
ling yong 	領用	c=1 d=0.0426384 t=2584
liu di 	留底	c=1 d=0.321422 t=2584
liu liang 	流量	c=1 d=0.199888 t=2584
liu shui 	流水	c=6 d=2.0619 t=2584
long 	龍	c=2 d=0.0977834 t=2584
lou 	樓	c=1 d=0.67368 t=2584
